movieid	g1	g2	g3	g4	g5	director	s1	s2	s3	s4	language
2539	Comedy	null	null	null	"null"	"Harold Ramis"	"Billy Crystal"	"Robert De Niro"	"Chazz Palminteri"	"Lisa Kudrow"	"English"
2571	Action	Sci-Fi	Thriller	null	"null"	"Andy Wachowski"	"Laurence Fishburne"	"Keanu Reeves"	"Hugo Weaving"	"Carrie-Anne Moss"	"English"
2616	Action	Crime	null	null	"null"	"Warren Beatty"	"Warren Beatty"	"Charlie Korsmo"	"William Forsythe"	"Ed ORoss"	"English"
2617	Action	Adventure	Comedy	Fantasy	"Horror"	"Stephen Sommers"	"Brendan Fraser"	"John Hannah"	"Arnold Vosloo"	"Rachel Weisz"	"English"
2628	Action	Adventure	Sci-Fi	null	"null"	"George Lucas"	"Jake Lloyd"	"Ewan McGregor"	"Liam Neeson"	"Natalie Portman"	"English"
2640	Action	Adventure	Sci-Fi	null	"null"	"Richard Donner"	"Christopher Reeve"	"Marlon Brando"	"Gene Hackman"	"Ned Beatty"	"English"
2683	Action	Adventure	Comedy	null	"null"	"Jay Roach"	"Mike Myers"	"Heather Graham"	"Michael York"	"Robert Wagner"	"English"
2699	Comedy	Horror	null	null	"null"	"Frank Marshall"	"Jeff Daniels"	"John Goodman"	"Harley Jane Kozak"	"Julian Sands"	"English"
2700	Animation	Comedy	Musical	null	"null"	"Trey Parker"	"Trey Parker"	"Matt Stone"	"Mary Kay Bergman"	"Isaac Hayes"	"English"
2706	Comedy	Romance	null	null	"null"	"Chris Weitz"	"Jason Biggs"	"Chris Klein"	"Seann William Scott"	"Shannon Elizabeth"	"English"
2710	Drama	Horror	Thriller	null	"null"	"Daniel Myrick"	"Bob Griffin"	"Joshua Leonard"	"Michael C. Williams"	"Heather Donahue"	"English"
2712	Drama	Mystery	Thriller	null	"null"	"Stanley Kubrick"	"Tom Cruise"	"Nicole Kidman"	"Sydney Pollack"	"Vinessa Shaw"	"English"
2716	Action	Comedy	Sci-Fi	null	"null"	"Ivan Reitman"	"Bill Murray"	"Dan Aykroyd"	"Sigourney Weaver"	"Harold Ramis"	"English"
2717	Action	Adventure	Comedy	Fantasy	"Sci-Fi"	"Ivan Reitman"	"Bill Murray"	"Dan Aykroyd"	"Sigourney Weaver"	"Harold Ramis"	"English"
2762	Drama	Mystery	Thriller	null	"null"	"M. Night Shyamalan"	"Haley Joel Osment"	"Bruce Willis"	"Toni Collette"	"Olivia Williams"	"English"
2791	Comedy	null	null	null	"null"	"Jim Abrahams"	"Robert Hays"	"Leslie Nielsen"	"Julie Hagerty"	"Lloyd Bridges"	"English"
2797	Comedy	Drama	Fantasy	Romance	"null"	"Penny Marshall"	"Tom Hanks"	"John Heard"	"Robert Loggia"	"Elizabeth Perkins"	"English"
2858	Drama	null	null	null	"null"	"Sam Mendes"	"Kevin Spacey"	"Annette Bening"	"Thora Birch"	"Wes Bentley"	"English"
2890	Action	Adventure	Comedy	Drama	"War"	"David O. Russell"	"George Clooney"	"Ice Cube"	"Spike Jonze"	"Mark Wahlberg"	"English"
2916	Action	Adventure	Sci-Fi	Thriller	"null"	"Paul Verhoeven"	"Arnold Schwarzenegger"	"Ronny Cox"	"Sharon Stone"	"Rachel Ticotin"	"English"
2918	Comedy	null	null	null	"null"	"John Hughes"	"Matthew Broderick"	"Alan Ruck"	"Mia Sara"	"Jeffrey Jones"	"English"
2959	Action	Crime	Drama	Thriller	"null"	"David Fincher"	"Edward Norton"	"Brad Pitt"	"Helena Bonham Carter"	"Jared Leto"	"English"
2985	Action	Crime	Drama	Sci-Fi	"Thriller"	"Paul Verhoeven"	"Peter Weller"	"Nancy Allen"	"Dan OHerlihy"	"Ronny Cox"	"English"
2987	Adventure	Animation	Children	Comedy	"Crime"	"Robert Zemeckis"	"Bob Hoskins"	"Christopher Lloyd"	"Joanna Cassidy"	"Charles Fleischer"	"English"
2997	Comedy	Drama	Fantasy	null	"null"	"Spike Jonze"	"John Cusack"	"Cameron Diaz"	"Catherine Keener"	"John Malkovich"	"English"
3033	Comedy	Sci-Fi	null	null	"null"	"Mel Brooks"	"Mel Brooks"	"Rick Moranis"	"John Candy"	"Bill Pullman"	"English"
3039	Comedy	null	null	null	"null"	"John Landis"	"Dan Aykroyd"	"Eddie Murphy"	"Don Ameche"	"Ralph Bellamy"	"English"
3052	Adventure	Comedy	Fantasy	null	"null"	"Kevin Smith"	"Ben Affleck"	"Matt Damon"	"Alan Rickman"	"Linda Fiorentino"	"English"
3081	Fantasy	Horror	Mystery	Romance	"null"	"Tim Burton"	"Johnny Depp"	"Michael Gambon"	"Christina Ricci"	"Miranda Richardson"	"English"
3114	Adventure	Animation	Children	Comedy	"Fantasy"	"John Lasseter"	"Tom Hanks"	"Tim Allen"	"Joan Cusack"	"Kelsey Grammer"	"English"
3147	Crime	Drama	null	null	"null"	"Frank Darabont"	"Michael Clarke Duncan"	"Tom Hanks"	"David Morse"	"Bonnie Hunt"	"English"
3160	Drama	null	null	null	"null"	"Paul Thomas Anderson"	"Tom Cruise"	"Philip Baker Hall"	"Philip Seymour Hoffman"	"Jason Robards"	"English"
3175	Adventure	Comedy	Sci-Fi	null	"null"	"Dean Parisot"	"Tim Allen"	"Alan Rickman"	"Tony Shalhoub"	"Sigourney Weaver"	"English"
3176	Drama	Mystery	Thriller	null	"null"	"Anthony Minghella"	"Matt Damon"	"Jude Law"	"Cate Blanchett"	"Gwyneth Paltrow"	"English"
3253	Comedy	null	null	null	"null"	"Penelope Spheeris"	"Mike Myers"	"Dana Carvey"	"Rob Lowe"	"Tia Carrere"	"English"
3255	Comedy	Drama	null	null	"null"	"Penny Marshall"	"Tom Hanks"	"Geena Davis"	"Lori Petty"	"Rosie ODonnell"	"English"
3256	Action	Thriller	null	null	"null"	"Phillip Noyce"	"Sean Bean"	"Patrick Bergin"	"Harrison Ford"	"Anne Archer"	"English"
3408	Drama	null	null	null	"null"	"Steven Soderbergh"	"Julia Roberts"	"Albert Finney"	"Aaron Eckhart"	"Marg Helgenberger"	"English"
3418	Adventure	Crime	Drama	null	"null"	"Ridley Scott"	"Harvey Keitel"	"Michael Madsen"	"Geena Davis"	"Susan Sarandon"	"English"
3421	Comedy	null	null	null	"null"	"John Landis"	"John Belushi"	"Stephen Furst"	"Tom Hulce"	"Mark Metcalf"	"English"
3448	Comedy	Drama	War	null	"null"	"Barry Levinson"	"Robin Williams"	"Forest Whitaker"	"Tung Thanh Tran"	"Chintara Sukapatana"	"English"
3471	Adventure	Drama	Sci-Fi	null	"null"	"Steven Spielberg"	"Richard Dreyfuss"	"Fran̤ois Truffaut"	"Melinda Dillon"	"Teri Garr"	"English"
3481	Comedy	Drama	Romance	null	"null"	"Stephen Frears"	"Jack Black"	"John Cusack"	"Todd Louiso"	"Iben Hjejle"	"English"
3489	Adventure	Comedy	Fantasy	null	"null"	"Steven Spielberg"	"Dustin Hoffman"	"Bob Hoskins"	"Robin Williams"	"Julia Roberts"	"English"
3499	Drama	Horror	Thriller	null	"null"	"Rob Reiner"	"James Caan"	"Richard Farnsworth"	"Kathy Bates"	"Frances Sternhagen"	"English"
3527	Action	Sci-Fi	Thriller	null	"null"	"John McTiernan"	"Bill Duke"	"Arnold Schwarzenegger"	"Carl Weathers"	"Elpidia Carrillo"	"English"
3578	Action	Adventure	Drama	null	"null"	"Ridley Scott"	"Russell Crowe"	"Joaquin Phoenix"	"Oliver Reed"	"Connie Nielsen"	"English"
3623	Action	Adventure	Thriller	null	"null"	"John Woo"	"Tom Cruise"	"Dougray Scott"	"Thandie Newton"	"Ving Rhames"	"English"
3671	Comedy	Western	null	null	"null"	"Mel Brooks"	"Cleavon Little"	"Gene Wilder"	"Slim Pickens"	"David Huddleston"	"English"
3751	Animation	Children	Comedy	null	"null"	"Peter Lord"	"Phil Daniels"	"Mel Gibson"	"Tony Haygarth"	"Lynn Ferguson"	"English"
3793	Action	Adventure	Sci-Fi	null	"null"	"Bryan Singer"	"Hugh Jackman"	"Patrick Stewart"	"Ian McKellen"	"Famke Janssen"	"English"
3897	Drama	null	null	null	"null"	"Cameron Crowe"	"Billy Crudup"	"Frances McDormand"	"Kate Hudson"	"Jason Lee"	"English"
3948	Comedy	null	null	null	"null"	"Jay Roach"	"Robert De Niro"	"Ben Stiller"	"Blythe Danner"	"Teri Polo"	"English"
3977	Action	Comedy	null	null	"null"	"McG"	"Bill Murray"	"Drew Barrymore"	"Cameron Diaz"	"Lucy Liu"	"English"
3994	Drama	Sci-Fi	Thriller	null	"null"	"M. Night Shyamalan"	"Spencer Treat Clark"	"Samuel L. Jackson"	"Bruce Willis"	"Robin Wright Penn"	"English"
3996	Action	Adventure	Drama	Fantasy	"null"	"Ang Lee"	"Chow Yun-Fat"	"Michelle Yeoh"	"Ziyi Zhang"	"Pei-pei Cheng"	"Mandarin"
4022	Drama	null	null	null	"null"	"Robert Zemeckis"	"Tom Hanks"	"Chris Noth"	"Nick Searcy"	"Helen Hunt"	"English"
4027	Adventure	Comedy	Crime	null	"null"	"Joel Coen"	"George Clooney"	"John Goodman"	"Tim Blake Nelson"	"John Turturro"	"English"
4034	Crime	Drama	Thriller	null	"null"	"Steven Soderbergh"	"Benicio Del Toro"	"Jacob Vargas"	"Andrew Chavez"	"Michael Saucedo"	"English"
4085	Action	Comedy	Crime	Drama	"null"	"Martin Brest"	"John Ashton"	"Eddie Murphy"	"Judge Reinhold"	"Lisa Eilbacher"	"English"
4226	Crime	Drama	Mystery	Thriller	"null"	"Christopher Nolan"	"Guy Pearce"	"Carrie-Anne Moss"	"Joe Pantoliano"	"Mark Boone Junior"	"English"
4246	Comedy	Drama	Romance	null	"null"	"Sharon Maguire"	"Ren̩e Zellweger"	"Hugh Grant"	"Colin Firth"	"Shirley Henderson"	"English"
4306	Adventure	Animation	Children	Comedy	"Fantasy"	"Andrew Adamson"	"Mike Myers"	"Eddie Murphy"	"Cameron Diaz"	"John Lithgow"	"English"
4321	Adventure	Comedy	Western	null	"null"	"Ron Underwood"	"Billy Crystal"	"Bruno Kirby"	"Daniel Stern"	"Patricia Wettig"	"English"
4361	Comedy	Romance	null	null	"null"	"Sydney Pollack"	"Dustin Hoffman"	"Jessica Lange"	"Teri Garr"	"Dabney Coleman"	"English"
4370	Adventure	Drama	Sci-Fi	null	"null"	"Steven Spielberg"	"Haley Joel Osment"	"Frances OConnor"	"Sam Robards"	"Jake Thomas"	"English"
4886	Adventure	Animation	Children	Comedy	"Fantasy"	"Pete Docter"	"Steve Buscemi"	"James Coburn"	"Billy Crystal"	"John Goodman"	"English"
4896	Adventure	Children	Fantasy	null	"null"	"Chris Columbus"	"Daniel Radcliffe"	"Emma Watson"	"Rupert Grint"	"Richard Harris"	"English"
4963	Crime	Thriller	null	null	"null"	"Steven Soderbergh"	"George Clooney"	"Bernie Mac"	"Brad Pitt"	"Elliott Gould"	"English"
4979	Comedy	Drama	null	null	"null"	"Wes Anderson"	"Gene Hackman"	"Anjelica Huston"	"Ben Stiller"	"Gwyneth Paltrow"	"English"
4993	Adventure	Fantasy	null	null	"null"	"Peter Jackson"	"Sean Astin"	"Cate Blanchett"	"Orlando Bloom"	"Ian Holm"	"English"
4995	Drama	Romance	null	null	"null"	"Ron Howard"	"Russell Crowe"	"Jennifer Connelly"	"Ed Harris"	"Paul Bettany"	"English"
5349	Action	Adventure	Sci-Fi	Thriller	"null"	"Sam Raimi"	"Tobey Maguire"	"Kirsten Dunst"	"James Franco"	"Willem Dafoe"	"English"
5378	Action	Adventure	IMAX	Sci-Fi	"null"	"George Lucas"	"Hayden Christensen"	"Christopher Lee"	"Ewan McGregor"	"Natalie Portman"	"English"
5418	Action	Adventure	Crime	Drama	"Mystery"	"Doug Liman"	"Matt Damon"	"Franka Potente"	"Chris Cooper"	"Clive Owen"	"English"
5445	Action	Crime	Mystery	Sci-Fi	"Thriller"	"Steven Spielberg"	"Tom Cruise"	"Max von Sydow"	"Steve Harris"	"Neal McDonough"	"English"
5502	Horror	Sci-Fi	Thriller	null	"null"	"M. Night Shyamalan"	"Mel Gibson"	"Joaquin Phoenix"	"Rory Culkin"	"Abigail Breslin"	"English"
5952	Adventure	Fantasy	null	null	"null"	"Peter Jackson"	"Sean Astin"	"Ian McKellen"	"Viggo Mortensen"	"Elijah Wood"	"English"
5989	Crime	Drama	null	null	"null"	"Steven Spielberg"	"Leonardo DiCaprio"	"Tom Hanks"	"Martin Sheen"	"Christopher Walken"	"null"
6377	Adventure	Animation	Children	Comedy	"null"	"Andrew Stanton"	"Albert Brooks"	"Ellen DeGeneres"	"Alexander Gould"	"Willem Dafoe"	"English"
6539	Action	Adventure	Comedy	Fantasy	"null"	"Gore Verbinski"	"Johnny Depp"	"Geoffrey Rush"	"Orlando Bloom"	"Keira Knightley"	"English"
6711	Comedy	Drama	Romance	null	"null"	"Sofia Coppola"	"Bill Murray"	"Scarlett Johansson"	"Anna Faris"	"Giovanni Ribisi"	"null"
7153	Action	Adventure	Drama	Fantasy	"null"	"Peter Jackson"	"Sean Astin"	"Ian McKellen"	"Viggo Mortensen"	"Elijah Wood"	"English"
8636	Action	Adventure	IMAX	Sci-Fi	"null"	"Sam Raimi"	"Tobey Maguire"	"Kirsten Dunst"	"James Franco"	"Alfred Molina"	"English"
